0,1,2,3,4,5,6,7,8,9,10,11
,,,,"washing three times with PBS, sections were incubated for 45 minutes at RT with either bioti-",,,,,,,
,,,,"nylated goat anti-mouse or goat anti-rabbit secondary antibodies (1:200; Vector Laboratories,",,,,,,,
"Table 1. Summary of elephants’ history and tests performed, including post-mortem methods.",,,,,,,,,,,
Animal no. [Ref.],Age,Sex,Status,EEHV subtype�,Blood test,H&E,IHC,TUNEL,IFA of PBMCs,TEM,qRT-PCR&
,,,,,,p,p,p,,,
"1 [6,7]",3-y,F,Deceased,EEHV1A,NA,,,,NA,NA,NA
,,,,,p,p,p,p,,,
2 [7],2-y,F,Deceased,EEHV1A,,,,,NA,NA,NA
,,,,,p,,,,,,
3,2-y,M,Deceased,EEHV1A,,NA,NA,NA,NA,NA,NA
,,,,,p,,,,,,
4,2-y,M,Deceased,EEHV1A,,NA,NA,NA,NA,NA,NA
,,,,,p,p,p,p,p,,
"5 [6,7]",3-y,F,Deceased,EEHV4,,,,,,NA,NA
,,,,,p,p,p,p,,,
6 [7],2-y,F,Deceased,EEHV4,,,,,NA,NA,NA
,,,,,,,,p,p,p,p
7,6-y,F,Alive,EEHV4,NA,NA,NA,,,,
,,,,,,,,p,p,p,p
8,5-y,F,Alive,EEHV4,NA,NA,NA,,,,
,,,,,,p,p,,,,
9,4-y,F,Deceased,EEHV1A and 4,NA,,,NA,NA,NA,NA
,,,,,,p,p,,,,
10,6-y,F,Deceased,EEHV1A and 4,NA,,,NA,NA,NA,NA
,,,,,,p,p,,,,
11,NA,M,Deceased,Negative,NA,,,NA,NA,NA,NA
,,,,,,p,p,p,,,
"12 [6,7]",1-d,M,Deceased,Negative,NA,,,,NA,NA,NA
,,,,,,p,p,,,p,
13,35-y,M,Deceased,Negative,NA,,,NA,NA,,NA
,,,,,p,,,p,p,,p
14,5-y,M,Alive,Negative,,NA,NA,,,NA,
,,,,,p,,,p,p,,p
15,8-y,M,Alive,Negative,,NA,NA,,,NA,
